Sentences,Virtual,Video,Escorted,Self-Guided
". My mother wants to have a virtual tour, possibly Tomorrow at 9:30 a.m.? Thanks in advance, James.",1,0,0,0
"Cool. I would like a 3D tour, what about Today at 1:10 p.m.? , Brandon.",1,1,0,0
"Alright Janice. I desire to have a look at the rental unit, what about Today at 1:00 p.m.? Thanks.",1,1,1,1
"Wonderful Chelsea. My father wants to actually see the flat, possibly Tomorrow at 5:20 p.m.? See you soon, Austin.",0,0,1,1
"Hey. Today at 1:10 p.m. I don't want a leasing agent for my tour. I hope this works, Stephanie.",0,1,0,1
"Hello. I want to see the flat on my own, possibly Today at 8:20 a.m.? I hope this works, Susan.",0,1,0,1
"Alright David. I want a video tour, what about Tomorrow at 9:20 a.m.? See you soon.",1,1,0,0
"Cool Jimmy. I want to see it from my computer  On December 7th. , Kimberly.",1,1,0,0
"To whom it may concern, Can I get an appointment for tomorrow? Thanks, Gregory.",0,0,1,1
"Sounds good Joseph. My wife wants to see the community in person, possibly On February 15th? Thanks, Dana.",0,0,1,1
"Sounds good Ariel. I would like to have a look at the building On June 11th. See you soon, James.",1,1,1,1
"Hello Sheila. I desire an appointment, perhaps Today at 2:40 p.m.? Thanks in advance, Dylan.",0,0,1,1
"Great. Can I schedule a call for tomorrow at 1:40 p.m.? Goodbye, Kimberly.",1,0,0,0
"Good afternoon Jamie. I desire to be accompanied on my tour, what about Today at 9:40 a.m.? Let me know, Bryan.",0,0,1,0
"Hi John. Tomorrow at 2:30 p.m. I would like to see it, but can't come in person. Thank you, Leslie.",1,1,0,0
"To whom it may concern, I would like to be able to talk to a leasing agent on my tour  Today at 9:00 a.m.. See you soon, Jennifer.",0,0,1,0
Good morning Robert. I wish someone with me on my tour  On April 2nd. I hope to hear back soon.,0,0,1,0
 Larry. I would like a tour with a leasing agent  Tomorrow at 10:00 a.m.. .,0,0,1,0
Perfect Rachel. Tomorrow at 8:10 a.m. I can't be there in person. See you soon.,1,1,0,0
"Great Kelly. I desire an appointment, perhaps Today? I hope this works.",0,0,1,1
"Wonderful Joshua. I desire a self guided tour  Today at 10:20 a.m.. Thanks, Colin.",0,0,0,1
". I wish to see it in person, what about Tomorrow at 1:30 p.m.? Let me know, Patricia.",0,0,1,1
" Amy. My husband wants to see the community in person  On January 21st. Thank you, Christian.",0,0,1,1
"Great Adrienne. I wish to see it, but can't come in person, perhaps On September 4th? Goodbye, Veronica.",1,1,0,0
"Good evening Corey. I need to be accompanied on my tour, maybe Today at 10:40 a.m.? See you soon, Nicholas.",0,0,1,0
"Hey Ashley. I want to schedule a call, maybe On June 23rd? See you soon, Robin.",1,0,0,0
"Sounds good Erik. I desire a tour without a leasing agent, maybe Tomorrow at 10:00 a.m.? , Karen.",0,0,0,1
". I desire to be able to talk to a leasing agent on my tour  Tomorrow at 9:40 a.m.. Thank you, Donald.",0,0,1,0
"Alright. I would like an appointment, possibly Today at 10:10 a.m.? See you soon, Daniel.",0,0,1,1
"Perfect Christina. I need a self guided tour, what about Today at 1:20 p.m.? , Thomas.",0,0,0,1
"Sounds good Antonio. Could I schedule an appointment with a leasing agent tomorrow at 4:10 p.m.? Thank you, Joseph.",0,0,1,0
" I would like an online tour, what about Today at 10:10 a.m.? Thank you.",1,1,0,0
"Alright Timothy. I need to be able to talk to a leasing agent on my tour, maybe On July 18th? I hope this works.",0,0,1,0
"Cool Heather. I would like a self guided tour, possibly Tomorrow at 9:00 a.m.? Thanks.",0,0,0,1
"Hey Heather. I need a tour without a leasing agent, possibly Tomorrow at 3:30 p.m.? .",0,0,0,1
